Biomass_feedstock,pH_H2O,C,(O+N)/C,O/C,H/C,Ash,SA,CEC,T,pH_sol,C0,Metal_type,AE
YD1BS3-500-1,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,2,1.16,Cd2+,0.00325
YD1BS3-500-2,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,3,1.16,Cd2+,0.01795
YD1BS3-500-3,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,4,1.16,Cd2+,0.06987
YD1BS3-500-4,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,5,1.16,Cd2+,0.11326
YD1BS3-500-5,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,6,1.16,Cd2+,0.13486
YD1BS3-500-6,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,7,1.16,Cd2+,0.14645
YD1BS3-500-7,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,8,1.16,Cd2+,0.16772
YD1BS3-500-8,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,7,0.235,Cd2+,0.08423
YD1BS3-500-9,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,7,0.447,Cd2+,0.09516
YD1BS3-500-10,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,7,0.62,Cd2+,0.12
YD1BS3-500-11,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,7,0.903,Cd2+,0.1372
YD1BS3-500-12,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,7,0.512,Cd2+,0.206
YD1BS3-500-13,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,7,0.356,Cd2+,0.219
YD1BS3-500-14,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,7,0.265,Cd2+,0.226
YD1BS3-500-15,10.33,63.16,0.034,0.021,0.517,31.37,4.157,48.44,25,7,0.212,Cd2+,0.209
YD1BS2-400-1,9.77,50.02,0.198,0.182,0.744,33.8,5.867,48.89,25,2,1.16,Cd2+,0.0014
YD1BS2-400-2,9.77,50.02,0.198,0.182,0.744,33.8,5.867,48.89,25,3,1.16,Cd2+,0.0647
YD1BS2-400-3,9.77,50.02,0.198,0.182,0.744,33.8,5.867,48.89,25,4,1.16,Cd2+,0.1515
YD1BS2-400-4,9.77,50.02,0.198,0.182,0.744,33.8,5.867,48.89,25,5,1.16,Cd2+,0.1549
YD1BS2-400-5,9.77,50.02,0.198,0.182,0.744,33.8,5.867,48.89,25,6,1.16,Cd2+,0.1508
YD1BS2-400-6,9.77,50.02,0.198,0.182,0.744,33.8,5.867,48.89,25,7,1.16,Cd2+,0.1538
YD1BS2-400-7,9.77,50.02,0.198,0.182,0.744,33.8,5.867,48.89,25,8,1.16,Cd2+,0.2083
YD3BS1-400-1,7.66,34.59,0.335,0.304,0.905,47.53,6.592,58.39,25,2,1.16,Cd2+,0.0016
YD3BS1-400-2,7.66,34.59,0.335,0.304,0.905,47.53,6.592,58.39,25,3,1.16,Cd2+,0.1227
YD3BS1-400-3,7.66,34.59,0.335,0.304,0.905,47.53,6.592,58.39,25,4,1.16,Cd2+,0.1344
YD3BS1-400-4,7.66,34.59,0.335,0.304,0.905,47.53,6.592,58.39,25,5,1.16,Cd2+,0.1402
YD3BS1-400-5,7.66,34.59,0.335,0.304,0.905,47.53,6.592,58.39,25,6,1.16,Cd2+,0.1552
YD3BS1-400-6,7.66,34.59,0.335,0.304,0.905,47.53,6.592,58.39,25,7,1.16,Cd2+,0.1556
YD3BS1-400-7,7.66,34.59,0.335,0.304,0.905,47.53,6.592,58.39,25,8,1.16,Cd2+,0.1717
YD3BS1-500-1,9.47,40.94,0.13,0.101,0.654,49.94,12.444,57.59,25,2,1.16,Cd2+,0.0013
YD3BS1-500-2,9.47,40.94,0.13,0.101,0.654,49.94,12.444,57.59,25,3,1.16,Cd2+,0.027
YD3BS1-500-3,9.47,40.94,0.13,0.101,0.654,49.94,12.444,57.59,25,4,1.16,Cd2+,0.038
YD3BS1-500-4,9.47,40.94,0.13,0.101,0.654,49.94,12.444,57.59,25,5,1.16,Cd2+,0.0403
YD3BS1-500-5,9.47,40.94,0.13,0.101,0.654,49.94,12.444,57.59,25,6,1.16,Cd2+,0.0477
YD3BS1-500-6,9.47,40.94,0.13,0.101,0.654,49.94,12.444,57.59,25,7,1.16,Cd2+,0.0535
YD3BS1-500-7,9.47,40.94,0.13,0.101,0.654,49.94,12.444,57.59,25,8,1.16,Cd2+,0.0567
